timestamp,size,method,alpha,num_aug,input,output,seconds
2025-10-18T22:32:06.903910,1_tiny,sr,0.05,16,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.05.txt,1.94
2025-10-18T22:32:08.443362,1_tiny,sr,0.1,16,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.1.txt,1.53
2025-10-18T22:32:10.453022,1_tiny,sr,0.2,16,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.2.txt,2.0
2025-10-18T22:32:12.870361,1_tiny,sr,0.3,16,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.3.txt,2.41
2025-10-18T22:32:16.663368,1_tiny,sr,0.4,16,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.4.txt,3.79
2025-10-18T22:32:20.879909,1_tiny,sr,0.5,16,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.5.txt,4.21
2025-10-18T22:32:22.027156,1_tiny,ri,0.05,16,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.05.txt,1.14
2025-10-18T22:32:23.269521,1_tiny,ri,0.1,16,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.1.txt,1.24
2025-10-18T22:32:25.051646,1_tiny,ri,0.2,16,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.2.txt,1.78
2025-10-18T22:32:27.376733,1_tiny,ri,0.3,16,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.3.txt,2.32
